account_id,num_of_trades,profit
624,182,604.2876716589509
3084,139,321.0102712031834
3272,257,461.9180503161448
6148,395,417.59337550928126
8700,184,56957.27669143576
10540,1,-11635.312522798888
12828,52,39949.17557065806
13956,98,21616.39316816144
21876,1812,126471.232261038
22282,200,134.1020622686297
22550,1698,241316.96639000607
22690,1146,-50951.3689922621
22774,54,-849.7869289253216
23052,243,1547.5485874162216
25886,404,5624.606170126092
27386,134,4247.009707315332
29712,80,-945.19716274139
33400,312,-3292.583469127181
33762,64,-1575.2723587356638
34496,85,3161.9316176509856
41260,331,-1657.272095235638
42572,303,-3313.1193957382
45078,199,-2098.585354084667
49918,169,2621.8360284293867
63032,744,-573.8962053060823
68090,174,10211.71279446159
74528,113,4805.181264460678
76450,1120,259.08030064162995
78110,527,2616.555698665066
87536,134,-4588.285231679411
87618,444,324.12915089572425
93312,156,485.3628198107276
97358,968,894.6048685929491
106738,319,2783.67963059429
108604,204,3558.36621321022
109172,245,6969.690142842431
109992,489,1076.859611630588
117760,157,1401.8761836536669
121564,90,61803.083182309696
122004,270,-19006.92722033702
124084,414,-1732.673762152077
134030,33,-155049.50029836295
137608,278,-2262.6093055205047
137996,167,875.192773717843
138370,2509,1275722.6845366503
138614,38,19979.55143071679
151138,108,-967.165976553514
153174,317,-1031.0821124119902
154604,26,-10049.818475575938
160638,116,-598.0701754152444
165648,227,3122.8322401341534
186650,95,-1436.6376416590203
188922,68,10914.161455967636
189034,666,-1559.1024651319044
196852,216,802.272758086995
198248,57,-10912.757790761443
204874,143,7829.063802134096
215840,134,3320.807175433466
221182,235,-2614.8010679058025
232550,150,-5163.787254764109
234678,174,2144.735490775577
250404,501,676.0492907433108
252062,654,6097.696408534372
285968,20,44259.85418836013
286784,357,12169.9942379187
288980,19247,-1632.998374906253
293164,283,1972.5936290229365
298650,180,134762.80797497655
300126,215,1319.5356442497125
305332,554,2287.47337265019
311922,29,-518.8659130972529
333194,34,2454.99856061582
339146,5297,14174.326459499043
341952,150,45127.90586443346
346622,200,4487.357696322595
352380,195,2913.166787886557
355850,44,13197.39275832618
356852,397,3912.114148438499
357246,144,585.5459452924042
360130,628,-1107.686144579245
365282,265,2930.714687791633
367144,24,473.8365770137873
367152,145,-3537.4576063192444
368822,282,86.45856992907875
369650,135,6672.034289530516
371092,984,-2086.40501582295
376940,139,5169.092409024832
377234,299,-674.8039935567721
382484,247,5509.849988193686
383372,498,1136.544961849072
384012,488,25724.316651480003
388998,340,9057.628540011829
407712,166,-1135.598635006123
412470,23,17696.456664223522
416396,367,624.6324300652473
427778,678,-1139.0893913882892
433746,5373,-5576.816800569516
439524,2407,-1541.637339329356
442564,346,-907.4010968375133
445730,174,4024.2571441071705
447716,86,201.24836934253244
458336,72,-1905.129333978572
460748,132,3200.761730944564
463616,3,1247805.2564510852
467924,723,1132.6615921094622
471492,293,-592.6021584729775
497866,506,10797.53789170519
501066,77,-3354.458653921956
501574,218,326.3183418587
501578,252,-19680.510855282944
512416,157,1836.4042975591176
514098,194,3759.895375105749
520382,89,-3164.8533219336
527670,11,5631.478040788995
547422,224,8502.01914967252
548344,221,-3325.863311965626
549806,308,-2928.086756858702
574406,152,-21.309024556405237
574564,14488,220889.3050596551
576260,63,-1368.0138675512817
576948,72,15695.16960901252
579268,174,4283.460687893759
582072,59,-6685.040147675367
584762,119,3127.166455801578
586906,225,-2305.1159132779667
588930,23,-693.3218658141141
594090,32,-1817.068498321612
595838,46,-1364.4724141449344
601242,422,1981.984063229614
602174,97,6263.6068303298825
603344,290,1446.4705474538046
608154,67,7194.134716414249
609474,40,-3285.088832410673
611780,13,-715.2526766716775
612686,308,-641.3013085448629
612776,42,-244.28380326705224
612882,44,-13924.587533150609
614470,36,-3567.957806372589
616638,67,-1987.3144428675616
616708,44,-979.3879474855188
617140,99,-1043.9336657110457
619406,56,-1510.771607771738
619498,24,1813.155513540936
619528,55,-5466.124142870305
619692,35,-2675.9643688484325
619880,504,4739.458199176956
620906,37,-30530.967461896467
621686,48,292.66042040003424
623450,192,14073.460486064529
624802,35,-3767.013168356391
